Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
name,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
diet,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,has specified diet
species,animal,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
species name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
common name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
iucn status,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
reproductive details,animal,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
reproductive age,animal,"The age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,*,
breeding season,animal,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,*,
eggs laid,animal,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,*,
enclosure,animal,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
conservation program,animal,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,is part of program
classification,species,"They are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
species name,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,species name,
common name,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,species common name,
i ucnstatus,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,iucn status,
thermal preference,species,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,*,
humidity level,species,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,*,
light cycles,species,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
u vlightrequirement,species,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,*,
reproductive health,species,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
egg laying capacity,species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,:number of laid eggs,
reproductive age,species,"The age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,reproductive age,
breeding season,species,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,natural breeding time,
diet type,species,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,,
nutrient requirements,species,The diet is also related to specific nutrients required to maintain health and vitality.,,,
feeding schedule,species,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
feeding frequency,species,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,,
feeding technique,species,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
type,diet,we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.,,diet type,
classification,diet,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
nutrients,diet,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
required vitamins and minerals,diet,"For example, some species may require particular vitamins or minerals in higher quantities than others.",,nutrients,
feeding schedule,diet,"For the diet, the feeding schedule is essential.",,feeding schedule,
frequency and timing,diet,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,feeding schedule,
feeding frequency,diet,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,feeding schedule,
feeding technique,diet,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
eggs laid at one time,oviparous species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,number of laid eggs,
size,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,enclosure size,
type,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,enclosure type,
climate conditions,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",climate conditions,,has climate conditions
vegetation,enclosure,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,vegetation,
temperature,enclosure,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,*,
light cycles,enclosure,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
ventilation,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
caretakers,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,caretaker,,assigned as caretaker
daily care responsibility,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,assigned as caretaker
behavioral training responsibility,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,assigned as caretaker
non stop care requirement,enclosure,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,caretaker,,assigned as caretaker
temperature,climate conditions,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,temperature,
humidity,climate conditions,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,humidity level,
lighting,climate conditions,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,light cycles,
ventilation,climate conditions,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,ventilation,
name,staff member,Each staff member has a name and expertise.,,name,
expertise,staff member,Each staff member has a name and expertise.,,expertise,
birth date,staff member,"For the administrative purposes, we need to keep staff member's birth date",,birth date,
permanent address,staff member,"For the administrative purposes, we need to keep staff member's permanent address.",,permanent address,
description,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,*,
supported species,conservation program,A conservation program focuses on particular species it supports.,species,,supports
collaborators,conservation program,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
program type,conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,*
strategy,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,*,
activities,conservation program,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,*,
