Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
animal enclosures,zoological garden,zoological garden,enclosure,where its animals live and are ethically displayed and conserved,enclosure,,provides
classified by species,zoological garden,zoological garden,animal species,"classified by species, each possessing unique biological and ecological characteristics",,,
provides enclosures,zoological garden,zoological garden,enclosure,provides various enclosures,enclosure,,provides
climate conditions,zoological garden,zoological garden,enclosure,climate conditions of enclosures in zoological gardens,,,
controlled environmental factors,zoological garden,zoological garden,enclosure,"blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation",,,
staff members,zoological garden,zoological garden,staff,Staff members of zoological gardens,staff member,,has member
conservation programs,zoological garden,zoological garden,conservation program,Conservation programs a zoological garden participates in,conservation program,,participates in
has central entity in,animal,animal,zoological garden,Animals are the central entities in a zoological garden.,,,
has classification by,animal,animal,species,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
has specified diet,animal,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has name,animal,animal,name,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
has species name,animal,animal,species name,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,*,
has diet,animal,animal,diet,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
has diet type,animal,animal,diet type,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",diet,,has specified diet
has feeding strategy,animal,animal,feeding strategy,This classification helps in formulating appropriate feeding strategies.,,,
has feeding frequency timing,animal,animal,feeding,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
has feeding technique,animal,animal,feeding technique,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
