Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
title,research paper,a title,,title,
abstract,research paper,"an abstract, which is a brief summary of the paper",,abstract,
publication year,research paper,"a publication year, marking when it was made public",,publication year,
conference,research paper,linked to a conference where it was presented,conference,,presented at
authors,research paper,written by one or more authors,author,,written by
corresponding author,research paper,corresponding author,author,,has corresponding author
submissions,research paper,Submissions are acts of submitting a research paper for consideration at a conference,submission,,has submission
submission,research paper,a submission of a research paper is a crucial stage in the research paper's life,submission,,has submission
resubmission,research paper,"if a research paper is resubmitted, the latest submission is the one that's considered for evaluation",,,*
review,research paper,A review is linked to the submission it evaluates,review,,*
reviewing process,person,involved in the reviewing process,,,*
name,person,with a name,,name,
email address,person,and an email address,,email,
has,person,A reviewer is a person that has,reviewer,,*
email,person,A reviewer is a person that has email,,email,
contribution,author,who significantly contribute to creating research papers,research paper,,written by
name,author,A person involved in the reviewing process with a name,,:name,
email address,author,and an email address.,,:email,
institutional affiliation,author,"has an institutional affiliation, which tells us where they work or study.",,affiliation,
name,conference,"The domain we're looking at is all about the world of academic conferences, particularly focusing on research papers, their authors, reviewers, and the submission process. At the heart of this domain are conferences, which are events where research papers are presented and discussed. Every conference has a name",,conference name,
location,conference,"Every conference has a name, a location where it's held, and a specific year when it takes place.",,location,
year,conference,"Every conference has a name, a location where it's held, and a specific year when it takes place.",,year,
research papers,conference,"Each research paper is also linked to a conference where it was presented, thus connecting it to the broader academic community.",research paper,,presented at
submission process,conference,"The domain we're looking at is all about the world of academic conferences, particularly focusing on research papers, their authors, reviewers, and the submission process.",,,*
submission,conference,"Submissions are acts of submitting a research paper for consideration at a conference. A submission of a research paper is a crucial stage in the research paper's life, as it represents the paper in the conference review process.",submission,,submitted to
review process,conference,"Submissions are acts of submitting a research paper for consideration at a conference. A submission of a research paper is a crucial stage in the research paper's life, as it represents the paper in the conference review process.",,,*
connection,conference,"Each research paper is also linked to a conference where it was presented, thus connecting it to the broader academic community.",research paper,,*
academic community,conference,"Each research paper is also linked to a conference where it was presented, thus connecting it to the broader academic community.",,,
submission date,submission,Submissions have a submission date,,submission date,
status,submission,"and a status, which tells us if it's under review, accepted, or rejected.",,status,
connected to the conferences,submission,They are also connected to the conferences to which they are submitted.,conference,,submitted to
latest submission,submission,"Importantly, if a research paper is resubmitted, the latest submission is the one that's considered for evaluation.",,*,
responsibilities,reviewer,Reviewers are responsible for evaluating the quality and relevance of submissions.,,,*
name,reviewer,A reviewer is a person that has a name,,:name,
email,reviewer,A reviewer is a person that has an email,,:email,
expertise area,reviewer,"Moreover, the reviewer has expertise area",,expertise,
writes reviews,reviewer,They write reviews,review,,writes
