Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
is a,zoological garden,zoological garden,entity,"A zoological garden is a complex entity where the interplay of biological diversity, human interaction, and environmental management coalesce into a singular institution aimed at conservation, education, and research.",,,
has,zoological garden,zoological garden,animal,Animals are the central entities in a zoological garden.,animal,,*
has,zoological garden,zoological garden,species,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,*
provides,zoological garden,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,enclosure,,provides
has,zoological garden,zoological garden,enclosure,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,enclosure,,provides
has,zoological garden,zoological garden,staff member,Staff members of zoological gardens are integral to their operation.,staff member,,has member
participates in,zoological garden,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,participates in
is central entity in,animal,animal,zoological garden,Animals are the central entities in a zoological garden.,zoological garden,,*
is classified by,animal,animal,species,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
has diet,animal,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has name,animal,animal,name,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
has species name and common name,animal,animal,species name and common name,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,*,
has diet,animal,animal,diet,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
has diet type,animal,animal,diet type,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",diet,,has specified diet
has feeding strategy,animal,animal,feeding strategy,This classification helps in formulating appropriate feeding strategies.,,,
has feeding frequency and timing,animal,animal,feeding frequency and timing,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
