Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
farms on,farmer,a farmer farms on one or more fields to grow crop on it,field,,farms on
responsible for planting,farmer,primarily responsible for conducting planting,planting,,conducts planting
owns machinery,farmer,"The farmer is an individual who engages in the activity of agriculture, growing and harvesting crops. This individual is uniquely identified by a name, used to refer to the farmer from various documentation and statistical reporting. Additionally, the farmer owns machinery.",machinery,,*
reduces manual work,farmer,to reduce manual work,,,
mechanized farming capacity,farmer,The machinery owned by the farmer reflects the capacity for mechanized farming,,*,
enhances agricultural tasks,farmer,Owning such machinery typically enhances a farmer's ability to perform various agricultural tasks more efficiently and effectively,,,
crops,crop,"This individual is uniquely identified by a name, used to refer to the farmer from various documentation and statistical reporting. Additionally, the age of the farmer is captured in years",,,
plants,crop,"Crop is plants grown in large amounts and cultivated by farmers for profit or subsistence, including cereals, oil seeds, vegetables, and fruits",,,
fruits,crop,Fruits are plants cultivated for producing their seed-associated fleshy structures that typically are sweet or sour and edible in the raw state,fruit,,*
vegetables,crop,Vegetables are plants cultivated for their parts consumable by humans or other animals as food,vegetable,,*
cereals,crop,Cereals are plants cultivated for their edible grain,cereal,,*
seed plants,crop,"Seed plants are grown for oil production from seeds, like sunflower and soybean, significant for both food and industrial uses",seed plant,,*
cultivated variety,crop,"Each crop type may have a cultivated variety, a plant grouping within a single botanical taxon of the lowest known rank, defined by the reproducible expression of its distinguishing and other genetic characteristics",,cultivated variety,
harvest,crop,The harvest is the production that is obtained from crops. It represents the final output of the agricultural cycle and is quantified and evaluated in terms of quantity and quality,harvest,,results in harvest
quantity of the harvest,crop,"The total quantity of the harvest, measured in kilograms, is crucial for determining the productivity and success of the crop",,*,
date or time period when the harvest was collected,crop,The specific date or time period when the harvest was collected is crucial for maximizing yield and ensuring the best quality of the harvested product,,*,
quality of the harvest,crop,"The quality of the harvest may include factors like size, ripeness, nutritional value, and absence of pests or diseases. High-quality harvests are crucial for market acceptance and consumer satisfaction",,*,
machinery,crop,"Machinery plays a critical role in the efficient and effective management of agricultural tasks. It includes mechanical tools and equipment used in farming, crucial for tasks such as plowing, seeding, spraying, and harvesting",machinery,,*
year the machinery was manufactured,crop,The year the machinery was manufactured indicates its age and potential modernity in technology,,,
model of the machinery,crop,The model of the machinery affects its functionality and suitability for specific tasks,,,
properties linking machinery to specific uses,crop,"Various properties link machinery to specific uses, such as field preparation, planting, and harvesting",,,
machinery used for preparation of the field for the planting,crop,"Machinery used for preparation of the field for the planting includes those machines like tractors equipped with specific attachments, used to prepare the field for planting",,,
machinery used for planting,crop,Machinery used for planting plays a pivotal role in the agricultural planting process. This category includes machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops,machinery,,*
machinery used for harvesting,crop,"Machinery used for harvesting includes combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle",machinery,,*
farmer,crop,"A farmer, an individual who engages in the activity of agriculture, growing and harvesting crops. This individual is uniquely identified by a name, used to refer to the farmer from various documentation and statistical reporting",farmer,,*
farms on one or more fields,crop,A farmer farms on one or more fields to grow crop on it. Farming includes not only growing crops but also other farming activities such as soil preparation,,,
ownership of agricultural equipment by farmers,crop,"To reduce manual work, the farmer owns machinery. This highlights the ownership of agricultural equipment by farmers. A farmer can own one or more pieces of machinery",,,
capacity for mechanized farming,crop,"Owning such machinery typically enhances a farmer's ability to perform various agricultural tasks more efficiently and effectively, from soil preparation and planting to harvesting and post-harvest processing. This ownership not only indicates the ability of a farmer to mechanize operations but also signifies the potential for increased productivity and improved crop management",,,
type,machinery,"Types of machinery include tractors, planters, harvesters, and sprayers.",,*,
manufacture year,machinery,"The year the machinery was manufactured indicates its age and potential modernity in technology,",,year of manufacturing,
model,machinery,while the model of the machinery affects its functionality and suitability for specific tasks.,,model,
field preparation machinery,machinery,"Machinery used for preparation of the field for the planting includes those machines like tractors equipped with specific attachments, used to prepare the field for planting.",planting,,used for field preparation
planting machinery,machinery,Machinery used for planting plays a pivotal role in the agricultural planting process. This category includes machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops.,planting,,used for planting
harvesting machinery,machinery,"Machinery used for harvesting includes combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle.",harvest,,used for harvesting
owned machinery,machinery,A farmer can own one or more pieces of machinery.,farmer,,*
farming activities,harvest,"Farmers are responsible for various activities on the farm, including the crucial processes of planting and harvesting.",farmer,,harvested by
name,harvest,"This individual is uniquely identified by a name, used to refer to the farmer from various documentation and statistical reporting.",,,
age,harvest,"Additionally, the age of the farmer is captured in years and is utilized mainly for statistical and reporting purposes.",,,
planting,harvest,The planting process is described as the agricultural activity of planting crops in a specific field during a specific year.,planting,,results in harvest
crops,harvest,"This activity involves specific crops, and the association is key to understanding the crop variety and its cultivation requirements during the planting process.",crop,,*
field,harvest,"Each planting activity is performed on a particular field, indicating the location of agricultural operations and facilitating field-specific crop management.",field,,*
planting date,harvest,"Furthermore, the exact date or period when the crop was planted is recorded and is critical for tracking crop growth stages and scheduling subsequent farming activities.",,*,
harvest,harvest,Harvest represents the final output of the agricultural cycle and is quantified and evaluated in terms of quantity and quality.,,,
harvest quantity,harvest,"The total quantity of the harvest, measured in kilograms, is crucial for determining the productivity and success of the crop.",,quantity,
harvest quality,harvest,"The quality of the harvest may include factors like size, ripeness, nutritional value, and absence of pests or diseases. High-quality harvests are crucial for market acceptance and consumer satisfaction.",,quality,
machinery,harvest,Machinery plays a critical role in the efficient and effective management of agricultural tasks.,,,
machinery type,harvest,"Types of machinery include tractors, planters, harvesters, and sprayers.",,,
machinery age,harvest,"The year the machinery was manufactured indicates its age and potential modernity in technology, while the model of the machinery affects its functionality and suitability for specific tasks.",,,
machinery usage,harvest,"Various properties link machinery to specific uses, such as field preparation, planting, and harvesting.",machinery,,used for harvesting
field preparation machinery,harvest,"Machinery used for preparation of the field for the planting includes those machines like tractors equipped with specific attachments, used to prepare the field for planting.",,,
planting machinery,harvest,Machinery used for planting plays a pivotal role in the agricultural planting process. This category includes machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops.,,,
harvesting machinery,harvest,"Machinery used for harvesting includes combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle.",machinery,,used for harvesting
farmer-field relationship,harvest,"A missing piece in the domain description is how a farmer is related to the field. Basically, a farmer farms on one or more fields to grow crops on it. Farming includes not only growing crops but also other farming activities such as soil preparation.",,,
farmer responsibility,harvest,"The farmer is primarily responsible for conducting planting, i.e. for a particular planting activity.",,,
machinery ownership,harvest,"To reduce manual work, the farmer owns machinery. This highlights the ownership of agricultural equipment by farmers.",,,
activities,field,"Farmers are responsible for various activities on the farm, including the crucial processes of planting and harvesting.",,,
farmer,field,"This individual is uniquely identified by a name, used to refer to the farmer from various documentation and statistical reporting.",,,
name,field,"This individual is uniquely identified by a name, used to refer to the farmer from various documentation and statistical reporting.",,,
age,field,"Additionally, the age of the farmer is captured in years and is utilized mainly for statistical and reporting purposes.",,,
planting process,field,The planting process is described as the agricultural activity of planting crops in a specific field during a specific year.,planting,,performed on
specific crops,field,"This activity involves specific crops, and the association is key to understanding the crop variety and its cultivation requirements during the planting process.",crop,,*
