Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
designed as,aircraft,aircraft,aircraft model,"...Every aircraft is unique and can be identified by its serial number. The manufacturing date tells us when the aircraft was made. Importantly, every aircraft is designed as a specific aircraft model, indicating the design it follows...",aircraft model,,designed as
made up of,aircraft,aircraft,part,"...The aircraft is made up of multiple parts, each an individual component used in its construction...",part,,consists of
supplied for,aircraft,supply,aircraft,"...The supplied for relationship shows that each supply is dedicated to the manufacturing of a specific aircraft, linking the parts supplied to the final product they help create...",supply,,supplied for
is part of,part,part,aircraft,"The aircraft is made up of multiple parts, each an individual component used in its construction.",aircraft,,consists of
is designed as,part,part,part model,"These parts are designed as part models, linking each part to its specific design model.",part model,,designed as part model
is included in,part,part,supply,"The includes relationship indicates that the supply includes specific parts, showing what components are provided for the aircraft's construction.",supply,,includes
is a,supplier,supplier,party,"... suppliers are part of a larger group called party, representing a generic subject involved in the aircraft manufacturing process.",party,,*
provides,supplier,supplier,supply,"... supplies represents a relationship where a supplier provides a supply, a range of different parts essential for building aircraft.",supply,,supplies
supplied for,supplier,supplier,aircraft,"... The supplied for relationship shows that each supply is dedicated to the manufacturing of a specific aircraft, linking the parts supplied to the final product they help create.",aircraft,,supplied for
includes,supply,supply,part,"...supplies represents a relationship where a supplier provides a supply, a range of different parts essential for building aircraft.",part,,includes
supplied for,supply,supply,aircraft,"...The supplied for relationship shows that each supply is dedicated to the manufacturing of a specific aircraft, linking the parts supplied to the final product they help create.",aircraft,,supplied for
purchases,customer,customer,aircraft,"At the heart of this field, we have the concept of a customer and a supplier. The customer represents the clients who purchase the finished aircraft.",aircraft,,purchases
is a,customer,customer,party,"Both customers and suppliers are part of a larger group called party, representing a generic subject involved in the aircraft manufacturing process.",party,,*
has,customer,customer,customer name,"Each customer has a unique aspect, their customer name.",,customer name,
is designed as,aircraft model,aircraft,aircraft model,"Importantly, every aircraft is designed as a specific aircraft model, indicating the design it follows.",aircraft,,designed as
incorporates,aircraft model,aircraft model,part model,"Furthermore, there's a crucial concept called incorporates, indicating that an aircraft model incorporates various part models in its design.",part model,,incorporates
designed as,part model,part,part model,"These parts are designed as part models, linking each part to its specific design model.",part,,designed as part model
incorporates,part model,aircraft model,part model,"Furthermore, there's a crucial concept called incorporates, indicating that an aircraft model incorporates various part models in its design.",aircraft model,,incorporates
