Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
central entities,animal,Animals are the central entities in a zoological garden.,zoological garden,,*
species,animal,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
species name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
species common name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
iucn status,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
specified diet,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
name,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
species name,animal,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,*,
common name,animal,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,*,
iucn status,animal,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,*,
diet,animal,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
type of diet,animal,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",diet,,has specified diet
feeding strategies,animal,This classification helps in formulating appropriate feeding strategies.,,,
nutrients,animal,The diet is also related to specific nutrients required to maintain health and vitality.,,,
feeding frequency and timing,animal,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
feeding frequency,animal,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,,
feeding technique,animal,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
reproductive details,animal,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
age at reproduction,animal,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,*,
breeding season,animal,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,*,
number of eggs,animal,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,*,
enclosures,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
purpose of enclosures,animal,They are critical for the ethical display and conservation of animals.,enclosure,,*
