Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
written by,research paper,research paper,author,A research paper is written by one or more authors.,author,,written by
has corresponding author,research paper,research paper,author,"Among the authors, there's a special role known as the corresponding author, who acts as the main contact point for a research paper.",author,,has corresponding author
presented at,research paper,research paper,conference,"Each research paper is also linked to a conference where it was presented, thus connecting it to the broader academic community.",conference,,presented at
submitted as,research paper,research paper,submission,"A submission of a research paper is a crucial stage in the research paper's life, as it represents the paper in the conference review process.",submission,,has submission
evaluated by,research paper,research paper,review,"A review is linked to the submission it evaluates, again emphasizing the focus on the most current submission of a research paper.",review,,reviews
contributes to,author,author,research paper,Authors are individuals who significantly contribute to creating research papers.,research paper,,writes
writes,author,author,research paper,A research paper is written by one or more authors.,research paper,,writes
has affiliation with,author,author,institution,"Moreover, the author has an institutional affiliation, which tells us where they work or study.",,affiliation,
is,author,author,corresponding author,"Among the authors, there's a special role known as the corresponding author, who acts as the main contact point for a research paper.",,,*
has,conference,conference,location,"Every conference has a name, a location where it's held, and a specific year when it takes place.",,location,
is linked to,conference,research paper,conference,"Each research paper is also linked to a conference where it was presented, thus connecting it to the broader academic community.",research paper,,presented at
is submitted to,conference,submission,conference,Submissions are acts of submitting a research paper for consideration at a conference.,submission,,submitted to
is submitted to,submission,submission,conference,They are also connected to the conferences to which they are submitted.,conference,,submitted to
is evaluated by,submission,submission,review,"A review is linked to the submission it evaluates, again emphasizing the focus on the most current submission of a research paper.",review,,reviews
is evaluated by,submission,submission,reviewer,Reviewers are responsible for evaluating the quality and relevance of submissions.,reviewer,,reviewed by
is of,submission,submission,research paper,Submissions are acts of submitting a research paper for consideration at a conference.,research paper,,has submission
writes,reviewer,reviewer,review,"They write reviews, which are evaluations or critiques of research papers.",review,,writes
has,reviewer,reviewer,expertise area,"Moreover, the reviewer has expertise area, highlighting their specialized knowledge in which they review submissions.",,expertise,
evaluates,reviewer,reviewer,submission,Reviewers are responsible for evaluating the quality and relevance of submissions.,submission,,reviewed by
reviews,reviewer,reviewer,research paper,"They write reviews, which are evaluations or critiques of research papers.",research paper,,*
evaluates,review,review,submission,"A review is linked to the submission it evaluates, again emphasizing the focus on the most current submission of a research paper.",submission,,reviews
written by,review,review,reviewer,"They write reviews, which are evaluations or critiques of research papers.",reviewer,,writes
