Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
is central entity,animal,Animals are the central entities in a zoological garden.,zoological garden,,*
has species,animal,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
has species name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
has species common name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
has iucn status,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
has diet,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has name,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
has diet type,animal,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
has diet nutrients,animal,The diet is also related to specific nutrients required to maintain health and vitality.,,,
has feeding frequency,animal,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
has feeding timing,animal,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,,
has feeding technique,animal,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
has reproductive details,animal,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,+gestation period;natural breeding time;reproductive age,
has reproductive age,animal,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,reproductive age,
has reproductive time of year,animal,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,natural breeding time,
has number of eggs,animal,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,:number of laid eggs,
has enclosure,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
is displayed in,animal,They are critical for the ethical display and conservation of animals.,animal,,*
has enclosure size,animal,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
has enclosure design,animal,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
has enclosure climate conditions,animal,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
has thermal preference,animal,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,,
requires temperature range,animal,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,,
has humidity requirement,animal,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
has light cycle requirement,animal,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
requires ultraviolet light,animal,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,,
is cared by,animal,Staff members of zoological gardens are integral to their operation.,,,
is assigned to caretaker,animal,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,,,
is treated by,animal,Veterinarians are responsible for medical treatment of particular species.,,,
is part of conservation program,animal,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
has conservation collaborations,animal,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,
is part of reintroduction program,animal,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,is part of program
has animals,species,Animals are the central entities in a zoological garden.,,,
classified by species,species,"They are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
has properties,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,+species name;species common name;iucn status,
has names,species,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,species name,
