Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has,zoological garden,zoological garden,entity,"A zoological garden is a complex entity where the interplay of biological diversity, human interaction, and environmental management coalesce into a singular institution aimed at conservation, education, and research.",,,
has,zoological garden,zoological garden,animal,Animals are the central entities in a zoological garden.,animal,,*
has,zoological garden,zoological garden,species,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,*
has,zoological garden,zoological garden,animal name,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,,
has,zoological garden,zoological garden,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,enclosure,,provides
has,zoological garden,zoological garden,staff member,Staff members of zoological gardens are integral to their operation.,staff member,,has member
participates in,zoological garden,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,participates in
is central to,animal,animal,zoological garden,Animals are the central entities in a zoological garden.,zoological garden,,*
has species,animal,animal,species,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
has diet,animal,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has name,animal,animal,name,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
has species name and common name,animal,animal,species name and common name,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,*,
has iucn status,animal,animal,iucn status,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,*,
lives in,animal,animal,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
requires specific climate conditions,animal,animal,climate conditions,The climate conditions of enclosures are complex and need to be tailored specifically to the needs of each species.,,,
has thermal preference,animal,animal,thermal preference,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,,
requires temperature range,animal,animal,temperature,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,,
requires specific humidity levels,animal,animal,humidity,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
requires specific light cycles,animal,animal,light cycles,"Ensuring that light cycles in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
requires ultraviolet light exposure,animal,animal,ultraviolet light,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,,
interacts with,animal,animal,staff member,"Staff members of zoological gardens are integral to their operation. They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
interacts with,animal,animal,caretaker and zoologist,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,,,
interacts with,animal,animal,veterinarian,Veterinarians are responsible for medical treatment of particular species.,,,
participates in,animal,animal,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
part of,animal,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,is part of program
classified by,species,species,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
treats,species,veterinarian,species,Veterinarians are responsible for medical treatment of particular species.,veterinarian,,responsible for
focuses on,species,conservation program,species,A conservation program focuses on particular species it supports.,conservation program,,supports
is crucial for,diet,diet,animal welfare and conservation status,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",animal,,has specified diet
is a fundamental aspect of,diet,diet,animal care,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",animal,,has specified diet
is one of the types of,diet,diet,diet type,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
is related to,diet,diet,nutrients,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
has,diet,diet,feeding schedule,"For the diet, the feeding schedule is essential.",,feeding schedule,
is associated with,diet,diet,feeding technique,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,feeding technique,
is paramount for,diet,diet,reproductive details,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,,
managed,enclosure,enclosure,management,enclosures are managed and when animals are introduced for mating,,,
houses,enclosure,enclosure,species,enclosures are specialized habitats designed to mimic the natural environments of the resident species,species,,resident of
houses,enclosure,enclosure,animals,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved,animal,,*
tailored to the needs of,enclosure,enclosure,species,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure",species,,resident of
houses,enclosure,enclosure,animals,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure",animal,,*
assigned to,enclosure,caretaker,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for,caretaker,,assigned as caretaker
