Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has,zoological garden,zoological garden,institution,"A zoological garden is a complex entity where the interplay of biological diversity, human interaction, and environmental management coalesce into a singular institution aimed at conservation, education, and research.",,,*
provides,zoological garden,zoological garden,enclosure,A zoological garden provides various enclosures where its animals live and are ethicaly displayed and conserved..,enclosure,,provides
participates in,zoological garden,zoological garden,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,participates in
has,animal,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
has,animal,animal,name,Each animal also has a name which is not unique but our staff uses to refer to them and we also present animal names to our visitors.,,animal name,
lives in,animal,animal,enclosure,A zoological garden provides various enclosures where its animals live and are ethicaly displayed and conserved..,enclosure,,*
receives care from,animal,animal,caretaker,Caretakers are assigned to particular enclosures they are responsible for. Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,*
receives medical treatment from,animal,animal,veterinarian,"Veterinarians are responsible for medical treatment of particular species. Therefore, they are not assigned to enclosures or individual animals but species.",veterinarian,,*
participates in,animal,animal,conservation program,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,:is part of program
classified by,species,animal,species,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
has,species,species,property,"Properties such as species name and species common name, and IUCN status characterize the species.",,-species name;species common name;iucn status,
requires,species,species,nutrient,"For example, some species may require particular vitamins or minerals in higher quantities than others.",,,*
has,species,species,reproductive detail,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
is housed in,species,species,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,enclosure,,resident of
has,species,species,climate condition,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,*,
is treated by,species,species,veterinarian,Veterinarians are responsible for medical treatment of particular species.,veterinarian,,*
is supported by,species,species,conservation program,A conservation program focuses on particular species it supports.,conservation program,,supports
has,diet,animal,diet,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",animal,,has specified diet
is,diet,diet,animal,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",animal,,has specified diet
is,diet,diet,type,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
requires,diet,diet,nutrient,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
has,diet,diet,feeding schedule,"For the diet, the feeding schedule is essential.",,feeding schedule,
