Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species name,animal,species name and species common name,,*,
species common name,animal,species name and species common name,,*,
iucn status,animal,IUCN status,,*,
diet,animal,specified diet,diet,,has specified diet
name,animal,Each animal also has a name,,animal name,
diet type,animal,"herbivorous, carnivorous, omnivorous, piscivorous, etc.",,,
nutrients,animal,specific nutrients required to maintain health and vitality,,,
feeding schedule,animal,frequency and timing of feeding,,,
feeding technique,animal,special feeding technique,,,
reproductive health,animal,reproductive health and management information,,*,
reproductive age,animal,age at which the species is capable of reproducing,,*,
breeding season,animal,specific time of year when the animals of that species naturally breed,,*,
clutch size,animal,number of eggs typically laid at one time,,*,
enclosure,animal,enclosures are specialized habitats designed to mimic the natural environments of the resident species,,,
enclosure characteristics,animal,"size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation",,,
climate conditions,animal,climate conditions of enclosures in zoological gardens,,,
environmental factors,animal,"temperature, humidity, lighting, and ventilation",,,
thermal preference,animal,thermal preference,,,
humidity,animal,humidity levels,,,
light cycle,animal,light cycles (day and night),,,
uv exposure,animal,exposure to ultraviolet light,,,
conservation program,animal,Specific animals may be part of reintroduction conservation programs,reintroduction conservation program,,is part of program
species,species,"They are classified by species, each possessing unique biological and ecological characteristics.",,,
species name,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,species name,
species common name,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,species common name,
iucn status,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,iucn status,
diet type,species,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,,
nutrients required,species,The diet is also related to specific nutrients required to maintain health and vitality.,,,
vitamins required,species,"For example, some species may require particular vitamins or minerals in higher quantities than others.",,*,
minerals required,species,"For example, some species may require particular vitamins or minerals in higher quantities than others.",,*,
feeding technique,species,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
reproductive health,species,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
reproductive age,species,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,reproductive age,
breeding season,species,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,natural breeding time,
egg count,species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,:number of laid eggs,
thermal preference,species,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,*,
humidity level,species,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,*,
light cycle,species,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
uv light requirement,species,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,*,
conservation program,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,supports
type,diet,its specified diet,,diet type,
diet type,diet,"whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
nutrients,diet,specific nutrients required to maintain health and vitality,,nutrients,
vitamins and minerals,diet,particular vitamins or minerals in higher quantities than others,,nutrients,
feeding schedule,diet,the feeding schedule,,feeding schedule,
feeding frequency,diet,the frequency and timing of feeding,,feeding schedule,
feeding technique,diet,special feeding technique,,feeding technique,
