Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
biological and ecological characteristics,animal,each possessing unique biological and ecological characteristics.,,,
species name,animal,Properties such as species name,,,
species common name,animal,Properties such as species common name,,,
iucn status,animal,Properties such as IUCN status,,,
diet,animal,"For a particular animal, we are also interested in its specified diet",diet,,has specified diet
name,animal,Each animal also has a name which is not unique,,animal name,
feeding schedule,animal,The feeding schedule is essential,,*,
vitamins or minerals,animal,Some species may require particular vitamins or minerals,,*,
reproductive health,animal,Reproductive details of animal species include reproductive health,,*,
reproductive management information,animal,Reproductive details of animal species include reproductive management information,,*,
age at which the species is capable of reproducing,animal,The age at which the species is capable of reproducing,,*,
time of year when the animals of that species naturally breeds,animal,This takes us also to the specific time of year when the animals of that species naturally breeds,,*,
gestation period,animal,"Gestation period, which is the length of pregnancy in viviparous animals",,*,
number of eggs typically laid at one time,animal,"For oviparous species, the number of eggs typically laid at one time",,,
enclosures,animal,Enclosures are specialized habitats designed to mimic the natural environments of the resident species,,:*,
size in square meters,animal,Each enclosure is characterized by its size in square meters,,,
type,animal,"type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,animal,climate conditions,,,
vegetation,animal,vegetation,,,
climate conditions of enclosures,animal,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species,,,
temperature,animal,temperature,,,
humidity,animal,humidity,,,
lighting,animal,lighting,,,
ventilation,animal,ventilation,,,
temperature is perhaps the most critical element in an enclosure's climate conditions,animal,Temperature is perhaps the most critical element in an enclosure's climate conditions,,,
range of temperatures,animal,"Many animal species, particularly reptiles, require a range of temperatures",,*,
humidity levels,animal,Humidity levels are vital,,*,
light cycles,animal,Ensuring that light cycles (day and night) are consistent with the natural light patterns of an animal's native habitat,,*,
ultraviolet light,animal,"Many species, particularly reptiles, require exposure to ultraviolet light",,*,
ventilation,animal,Proper ventilation is essential,,,
staff members,animal,Staff members of zoological gardens are integral to their operation,,,
name,animal,Each staff member has a name,,,
expertise,animal,Each staff member has expertise,,,
birth date,animal,"For the administrative purposes, we need to keep their birth date",,,
permanent address,animal,"For the administrative purposes, we need to keep their permanent address",,,
caretakers,animal,Caretakers and zoologists are assigned to particular enclosures,,,
zoologists,animal,Caretakers and zoologists are assigned to particular enclosures,,,
non-stop care,animal,An enclosure must have more caretakers so that they cover non-stop care,,,
veterinarians,animal,Veterinarians are responsible for medical treatment of particular species,,,
not assigned to enclosures or individual animals,animal,"therefore, they are not assigned to enclosures or individual animals",,,
conservation programs,animal,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies,,,:is part of program
focuses on particular species,animal,A conservation program focuses on particular species it supports,,,:*
ex-situ strategies,animal,Conversation with ex-situ strategies also focus on specific countries or geographic regions,,,
collaborate with global conservation entities,animal,These programs often collaborate with global conservation entities,,,
research,animal,These programs often collaborate with global conservation entities and are pivotal in research,,,
breeding programs,animal,These programs often collaborate with global conservation entities and are pivotal in breeding programs,,,
reintroduction efforts,animal,These programs often collaborate with global conservation entities and are pivotal in reintroduction efforts,,,
specific animals,animal,Specific animals may be part of reintroduction conservation programs,reintroduction conservation program,,is part of program
species,species,"classified by species, each possessing unique biological and ecological characteristics",,,
species name,species,Properties such as species name,,species name,
species common name,species,and species common name,,species common name,
iucn status,species,IUCN status provides insight into the conservation priority of species,,iucn status,
diet,species,"For a particular animal, we are also interested in its specified diet",,,
name,species,Each animal also has a name which is not unique,,,
feeding schedule,species,feeding schedule,,,
specific nutrients,species,Some species may require particular vitamins or minerals in higher quantities than others,,*,
reproductive health,species,Reproductive details of animal species include reproductive health,,-reproductive age;gestation period,
reproductive age,species,age at which the species is capable of reproducing,,reproductive age,
gestation period,species,"Gestation period, which is the length of pregnancy in viviparous animals",,gestation period,
enclosure,species,Enclosures are specialized habitats designed to mimic the natural environments of the resident species,enclosure,,resident of
size,species,Each enclosure is characterized by its size in square meters,,,
type,species,"type (e.g., aviary, aquarium, terrarium)",,,
species needs,species,tailored to the needs of specific species in the enclosure,enclosure,,resident of
climate conditions,species,The climate conditions of enclosures in zoological gardens are complex,,,
temperature,species,Temperature is perhaps the most critical element in an enclosure's climate conditions,,*,
humidity,species,"Humidity levels are vital, especially for species from tropical or aquatic environments",,*,
light cycles,species,Ensuring that light cycles (day and night) are consistent with the natural light patterns,,*,
ventilation,species,Proper ventilation is essential for maintaining air quality,,,
staff members,species,Staff members of zoological gardens are integral to their operation,,,
name,species,Each staff member has a name and expertise,,,
assigned enclosures,species,Caretakers and zoologists are assigned to particular enclosures they are responsible for,-caretaker;zoologist,,-assigned as caretaker;assigned to as zoologist
responsible species,species,Veterinarians are responsible for medical treatment of particular species,veterinarian,,responsible for
conservation programs,species,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity,conservation program,,supports
supported species,species,A conservation program focuses on particular species it supports,conservation program,,supports
collaborating entities,species,These programs often collaborate with global conservation entities,,,
reintroduction animals,species,Specific animals may be part of reintroduction conservation programs,,,
