Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
species,animal,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",animal,,classified by
species name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
species common name,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
i ucn_status,animal,"Properties such as species name and species common name, and IUCN status characterize the species.",,*,
diet,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
name,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
common name,animal,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,*,
reproductive details,animal,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
species,species,"Animals are the central entities in a zoological garden. They are classified by species, each possessing unique biological and ecological characteristics. Properties such as species name and species common name, and IUCN status characterize the species.",animal,,classified by
species name,species,Properties such as species name,,species name,
species common name,species,Properties such as species common name,,species common name,
i ucn_status,species,Properties such as IUCN status,,iucn status,
diet type,diet,"animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
feeding strategy,diet,formulating appropriate feeding strategies,,*,
required nutrients,diet,The diet is also related to specific nutrients required to maintain health and vitality,,nutrients,
feeding schedule,diet,"For the diet, the feeding schedule is essential. It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health",,feeding schedule,
feeding technique,diet,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health",,feeding technique,
oviparous species,oviparous species,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,+number of laid eggs,
specialized habitat,enclosure,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
critical for ethical display and conservation,enclosure,They are critical for the ethical display and conservation of animals.,,,
size in square meters,enclosure,"Each enclosure is characterized by its size in square meters,",,enclosure size,
type,enclosure,"type (e.g., aviary, aquarium, terrarium),",,enclosure type,
climate conditions,enclosure,"climate conditions,",climate conditions,,has climate conditions
vegetation,enclosure,"and vegetation,",,vegetation,
tailored to the needs of specific species,enclosure,tailored to the needs of specific species in the enclosure.,species,,resident of
design and maintenance are vital for health,enclosure,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
climate conditions are complex and need to be tailored,enclosure,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,climate conditions,,has climate conditions
climate conditions are a blend of various controlled environmental factors,enclosure,"They are a blend of various controlled environmental factors including temperature,",climate conditions,,has climate conditions
climate conditions include humidity,enclosure,"humidity,",,*,
climate conditions include lighting,enclosure,"lighting,",,*,
climate conditions include ventilation,enclosure,and ventilation.,,*,
temperature is critical element in climate conditions,enclosure,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,*,
many animal species require a range of temperatures,enclosure,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,*,
light cycles are consistent with natural light patterns,enclosure,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,*,
proper ventilation is essential,enclosure,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,*,
caretakers and zoologists are assigned to particular enclosures,enclosure,Caretakers and zoologists are assigned to particular enclosures they are responsible for.,+caretaker;zoologist,,+assigned as caretaker;assigned to as zoologist
caretakers are responsible for daily care and behavioral training,enclosure,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,assigned as caretaker
enclosure must have more caretakers,enclosure,An enclosure must have more caretakers so that they cover non-stop care which is necessary for most species.,caretaker,,assigned as caretaker
caretakers are not assigned to enclosures or individual animals,enclosure,"Therefore, they are not assigned to enclosures or individual animals but species.",,,
climate conditions,climate conditions,"The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species. They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation. These climate conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions. Temperature is perhaps the most critical element in an enclosure's climate conditions. Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health. Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas. Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort. Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors. Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism. The absence of adequate UV lighting in the climate conditions can lead to health problems like metabolic bone disease. Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.",,+ventilation;ultraviolet light;light cycles;humidity level;temperature,
name,staff member,Each staff member has a name,,name,
expertise,staff member,Each staff member has a name and expertise,,expertise,
birth date,staff member,"For the administrative purposes, we need to keep staff member's birth date",,birth date,
permanent address,staff member,"For the administrative purposes, we need to keep staff member's permanent address",,permanent address,
conservation programs,conservation program,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,,,
focused species,conservation program,A conservation program focuses on particular species it supports.,species,,supports
collaborations,conservation program,"These conservation programs often collaborate with global conservation entities and are pivotal in research, breeding programs, and reintroduction efforts.",,,*
reintroduction programs,conservation program,Specific animals may be part of reintroduction conservation programs.,animal,,:is part of program
