Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
is central entity,animal,Animals are the central entities in a zoological garden.,zoological garden,,*
species,animal,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
diet,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
name,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
species name,animal,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,*,
diet type,animal,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",diet,,has specified diet
diet classification,animal,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",diet,,has specified diet
feeding strategy,animal,This classification helps in formulating appropriate feeding strategies.,,,
feeding frequency and timing,animal,"It specifies the frequency and timing of feeding, which can affect the animal's metabolic rate and overall health.",,,
feeding technique,animal,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
reproductive details,animal,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
breeding season,animal,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,*,
enclosures,animal,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,enclosure,,*
enclosure design and maintenance,animal,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
climate conditions,animal,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
natural habitat mimicry,animal,"These climate conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions.",,,
temperature range,animal,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,,
light cycles,animal,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
caretaker responsibilities,animal,Caretakers can be assigned to more enclosures and they are responsible for daily care and behavioral training of the animals in the enclosure.,caretaker,,*
conservation programs,animal,Specific animals may be part of reintroduction conservation programs.,conservation program,,:is part of program
classification,species,"They are classified by species, each possessing unique biological and ecological characteristics.",animal,,classified by
properties,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,+species name;species common name;iucn status,
naming convention,species,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,species name,
i ucn_status,species,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,iucn status,
diet,species,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",,,
diet details,species,Some species may require particular vitamins or minerals in higher quantities than others.,,,
feeding frequency,species,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,,
feeding technique,species,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
reproductive details,species,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,+gestation period;natural breeding time;reproductive age,
