Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
diet,animal,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",diet,,has specified diet
name,animal,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,animal name,
species,animal,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
reproductive details,animal,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,*,
conservation status,animal,The conservation status of the animal.,,*,
enclosure,animal,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,enclosure,,*
conservation program,animal,Specific animals may be part of reintroduction conservation programs.,reintroduction conservation program,,*
climate conditions,animal,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
light cycles,animal,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
temperature range,animal,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,,
welfare,animal,Their expertise directly affects animal welfare.,,,
characteristics,species,each possessing unique biological and ecological characteristics,,*,
name,species,species name,,species name,
common name,species,species common name,,species common name,
iucn status,species,IUCN status,,iucn status,
diet,species,The diet of a particular animal in a zoological setting,,,
reproductive details,species,Reproductive details of animal species,,+gestation period;natural breeding time;reproductive age,
reproductive age,species,the age at which the species is capable of reproducing,,reproductive age,
breeding season,species,the specific time of year when the animals of that species naturally breed,,natural breeding time,
gestation period,species,"Gestation period, which is the length of pregnancy in viviparous species",,gestation period,
egg count,species,the number of eggs typically laid at one time,,:number of laid eggs,
enclosure size,species,size in square meters,,,
enclosure type,species,"type (e.g., aviary, aquarium, terrarium)",,,
climate conditions,species,climate conditions,,,
vegetation,species,vegetation,,,
thermal preference,species,specific thermal preference based on its natural habitat,,*,
humidity level,species,Humidity levels,,,
uv light requirement,species,exposure to ultraviolet light,,*,
conservation program,species,particular species it supports,conservation program,,supports
type,diet,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,diet type,
nutrients,diet,The diet is also related to specific nutrients required to maintain health and vitality.,,nutrients,
feeding schedule,diet,"For the diet, the feeding schedule is essential.",,feeding schedule,
