Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
conservation,zoological garden,zoological garden,general,"where the interplay of biological diversity, human interaction, and environmental management coalesce into a singular institution aimed at conservation, education, and research.",,,
animals,zoological garden,zoological garden,general,Animals are the central entities in a zoological garden.,animal,,*
properties,zoological garden,zoological garden,species,"Properties such as species name and species common name, and IUCN status characterize the species.",,,
diet,zoological garden,zoological garden,animals,"For a particular animal, we are also interested in its specified diet which is crucial for managing their welfare and conservation status of the animal.",,,
names,zoological garden,zoological garden,animals,Each animal also has a name which is not unique but our staff uses it to refer to them and we also present animal names to our visitors.,,,
names,zoological garden,zoological garden,species,"The species name adheres to international taxonomic standards, ensuring uniformity across scientific and conservation discourse, while the common name is how visitors usually refer to the species.",,,
iucn status,zoological garden,zoological garden,species,"IUCN status provides insight into the conservation priority of species, influencing habitat management and breeding programs.",,,
diet,zoological garden,zoological garden,animals,"The diet of a particular animal in a zoological setting is a fundamental aspect of its care, impacting its health, behavior, and reproduction.",,,
diet types,zoological garden,zoological garden,diet,"We distinguish different types of diet whether an animal is herbivorous, carnivorous, omnivorous, piscivorous, etc.",,,
feeding strategies,zoological garden,zoological garden,diet,This classification helps in formulating appropriate feeding strategies.,,,
nutrients,zoological garden,zoological garden,diet,The diet is also related to specific nutrients required to maintain health and vitality.,,,
vitamins and minerals,zoological garden,zoological garden,nutrients,"For example, some species may require particular vitamins or minerals in higher quantities than others.",,,
feeding schedule,zoological garden,zoological garden,diet,"For the diet, the feeding schedule is essential.",,,
feeding frequency,zoological garden,zoological garden,feeding schedule,"Some species may need multiple small feedings throughout the day, while others might suffice with less frequent larger meals.",,,
feeding techniques,zoological garden,zoological garden,diet,"The diet can also be associated with a special feeding technique because some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding that mimic their natural foraging behaviors, enhancing their psychological well-being and physical health.",,,
reproductive details,zoological garden,zoological garden,animals,"Reproductive details of animal species include reproductive health and management information that is paramount in zoological settings, especially for conservation breeding programs.",,,
reproductive age,zoological garden,zoological garden,reproductive details,"First, the age at which the species is capable of reproducing, which helps in planning breeding programs, is important.",,,
breeding season,zoological garden,zoological garden,reproductive details,"This takes us also to the specific time of year when the animals of that species naturally breed, which can influence how enclosures are managed and when animals are introduced for mating.",,,
gestation period,zoological garden,zoological garden,reproductive details,"Gestation period, which is the length of pregnancy in viviparous species, is important for monitoring and providing care during this critical period.",,,
egg quantity,zoological garden,zoological garden,reproductive details,"For oviparous species, the number of eggs typically laid at one time, affects incubation practices.",,,
specialized habitats,zoological garden,zoological garden,enclosures,Enclosures are specialized habitats designed to mimic the natural environments of the resident species.,,,
ethical display and conservation,zoological garden,zoological garden,enclosures,They are critical for the ethical display and conservation of animals.,enclosure,,provides
provision of enclosures,zoological garden,zoological garden,enclosures,A zoological garden provides various enclosures where its animals live and are ethically displayed and conserved.,enclosure,,provides
enclosure characteristics,zoological garden,zoological garden,enclosures,"Each enclosure is characterized by its size in square meters, type (e.g., aviary, aquarium, terrarium), climate conditions, and vegetation, tailored to the needs of specific species in the enclosure.",,,
enclosure design and maintenance,zoological garden,zoological garden,enclosures,"The design and maintenance of enclosures are vital for health, providing adequate space, enrichment, and security from potential stressors for each animal housed in the enclosure.",,,
climate conditions,zoological garden,zoological garden,enclosures,The climate conditions of enclosures in zoological gardens are complex and need to be tailored specifically to the needs of each species.,,,
environmental factors,zoological garden,zoological garden,climate conditions,"They are a blend of various controlled environmental factors including temperature, humidity, lighting, and ventilation.",,,
mimicking natural habitat,zoological garden,zoological garden,climate conditions,"These climate conditions are essential for mimicking the natural habitat of animals as closely as possible, which not only ensures their physical health but also supports their psychological well-being by encouraging natural behaviors and physiological functions.",,,
temperature,zoological garden,zoological garden,climate conditions,Temperature is perhaps the most critical element in an enclosure's climate conditions.,,,
thermal preference,zoological garden,zoological garden,temperature,"Each species has a specific thermal preference based on its natural habitat, which needs to be mimicked in captivity for optimal health.",,,
temperature range,zoological garden,zoological garden,temperature,"Many animal species, particularly reptiles, require a range of temperatures within their enclosure to regulate their body temperature by moving between warmer and cooler areas.",,,
humidity,zoological garden,zoological garden,climate conditions,"Humidity levels are vital and important aspect of climate conditions, especially for species from tropical or aquatic environments, as it affects skin health, hydration, and overall comfort.",,,
light cycles,zoological garden,zoological garden,climate conditions,"Ensuring that light cycles (day and night) in the climate conditions of enclosures are consistent with the natural light patterns of an animal's native habitat helps maintain normal circadian rhythms, which are crucial for feeding, sleeping, and reproductive behaviors.",,,
ultraviolet light,zoological garden,zoological garden,climate conditions,"Many species, particularly reptiles, require climate conditions ensuring an exposure to ultraviolet light to synthesize vitamin D3, essential for calcium metabolism.",,,
ventilation,zoological garden,zoological garden,climate conditions,Proper ventilation is essential for maintaining air quality and appropriate climate conditions within an enclosure.,,,
staff members,zoological garden,zoological garden,general,Staff members of zoological gardens are integral to their operation.,,,
staff roles,zoological garden,zoological garden,staff members,"They include zoologists, veterinarians, caretakers, and administrative personnel.",,,
staff details,zoological garden,zoological garden,staff members,Each staff member has a name and expertise.,,,
administrative details,zoological garden,zoological garden,staff members,"For the administrative purposes, we need to keep staff member's birth date and permanent address.",,,
conservation strategies,zoological garden,zoological garden,conservation programs,Conservation programs a zoological garden participates in are initiatives aimed at preserving biodiversity through in-situ and ex-situ strategies.,conservation program,,participates in
central,animal,animal,zoological garden,Animals are the central entities in a zoological garden.,zoological garden,,*
classified by,animal,animal,species,"They are classified by species, each possessing unique biological and ecological characteristics.",species,,classified by
has diet,animal,animal,diet,"For a particular animal, we are also interested in its specified diet",diet,,has specified diet
has name,animal,animal,name,Each animal also has a name,,animal name,
requires,animal,animal,special feeding technique,"Some animals, especially those with unique physiological or behavioral adaptations, require special methods of feeding",,,*
is part of,animal,animal,reintroduction conservation program,Specific animals may be part of reintroduction conservation programs,reintroduction conservation program,,is part of program
